feature,selection_score,importance_score,vote_score
rsi_ma,1.0,0.04836871102452278,1.0
price_change_60d,1.0,0.04156453162431717,1.0
rsi,1.0,0.0401935800909996,1.0
price_sma_50_distance_ma,1.0,0.03933157026767731,1.0
rsi_trend_interaction_trend_strength_20,1.0,0.03896437585353851,1.0
price_change_30d,1.0,0.03889062628149986,1.0
stoch_d,1.0,0.0388333797454834,1.0
macd_signal,1.0,0.03791620582342148,1.0
sma_10_ratio,1.0,0.03737696260213852,1.0
price_position_5,1.0,0.03660465404391289,1.0
rsi_macd_interaction,1.0,0.035533323884010315,1.0
trend_strength_60,1.0,0.034519653767347336,1.0
price_change_10d,1.0,0.03329476714134216,1.0
roc_5,1.0,0.03302105516195297,1.0
low_change_3d,1.0,0.032076843082904816,1.0
relative_strength_200,1.0,0.031854014843702316,1.0
price_volatility_ratio,1.0,0.029967118054628372,1.0
volume_std_60,1.0,0.029908355325460434,1.0
price_position_50,1.0,0.029765700921416283,1.0
vpt_ratio,1.0,0.028915340080857277,1.0
price_sma_10_distance_ma,1.0,0.027830710634589195,1.0
macd_volume_interaction_volume_ratio_20,1.0,0.027790982276201248,1.0
price_sma_5_distance,1.0,0.026758378371596336,1.0
bb_position,1.0,0.026715917512774467,1.0
volume_ratio_60,1.0,0.02618747018277645,1.0
sma_120_ratio,1.0,0.025204544886946678,1.0
relative_strength,1.0,0.022660819813609123,1.0
price_change_3d,1.0,0.02198684588074684,1.0
high_change_5d,1.0,0.021970966830849648,1.0
price_position_10,1.0,0.02122599631547928,1.0
low_change_2d,1.0,0.01961122825741768,1.0
vol_mom_interaction_volatility_20d_momentum_5,1.0,0.015155406668782234,1.0
sma_cross_20_60,1.0,0.0,1.0
ema_90_distance,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
ema_20_ratio,1.0,0.0,1.0
ema_90_ratio,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
price_channel_position_60,1.0,0.0,1.0
sma_50_ratio,1.0,0.0,1.0
ema_50_ratio,1.0,0.0,1.0
momentum_60,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
ema_30_distance,1.0,0.0,1.0
price_sma_20_distance,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
cci,1.0,0.0,1.0
momentum_30,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
ema_10_ratio,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
sma_5_ratio,1.0,0.0,1.0
sma_200_ratio,1.0,0.0,1.0
ema_5_ratio,1.0,0.0,1.0
momentum_10,1.0,0.0,1.0
roc_10,1.0,0.0,1.0
price_momentum_10,1.0,0.0,1.0
rsi_neutral,1.0,0.0,1.0
